event,lat_n,lon_e,date,time_utc,meta,description
tornado,52.82,13.65,29-11-2015,21:57:00,"Finowfurt  
SW of Finowfurt. Brandenburg 
Germany (52.82 N, 13.65 E)
29-11-2015  (Sunday)
21:57 UTC (+/- 5 min.)","based on information from: photograph(s) and/or video footage of the inflicted damage, a damage survey by a severe weather expert, an eyewitness report of the damage
occurring over: land
intensity and other characteristics: F1 T3 
the intensity rating was based on a damage survey by a severe weather expert, photograph(s) and/or video footage of the inflicted damage, an eyewitness report of the damage.
accompanying weather: heavy rain.
path length: 0.5 km
average path width: 70 m
maximum path width: 120 m
direction of movement: WSW-ENE
damage to crops and forests: forest areas partly destroyed
Tornado confirmed 3.5km SW of Finowfurt; forest area partly destroyed; source: Ergebnisse der Beratung der Tornado-Arbeitsgruppe Deutschland (TAD), 09 MAY 2016, Berlin; Site survey by Heiko Wichmann (in december 2015);
report status: report confirmed by reliable source (QC1)
contact: Thilo Kühne (ESWD management)"
tornado,51.08,10.82,17-10-2015,14:30:00,"Döllstädt  Thüringen 
Germany (51.08 N, 10.82 E) < 3 km
17-10-2015  (Saturday)
14:30 UTC (+/- 15 min.)","based on information from: a report on a website, photo or video of the event, an eye-witness report
occurring over: land
The funnel cloud was observed.
tornado confirmed; source: Tornadoliste Deutschland, 02 NOV 2015; source II: Ergebnis der Beratung der Tornado-Arbeitsgruppe (TAD), 24 JAN 2016;
http://www.tornadoliste.de/151017doellstaedt.htm
report status: report confirmed by reliable source (QC1)
contact: Thilo Kühne (ESWD management)"
tornado,54.08,12.27,26-09-2015,08:43:00,"Broderstorf  Mecklenburg-Vorpommern 
Germany (54.08 N, 12.27 E) < 3 km
26-09-2015  (Saturday)
08:43 UTC (+/- 5 min.)","based on information from: a report on a website, photo or video of the event, an eye-witness report
occurring over: land
The funnel cloud was observed.
tornado confirmed; long-stretched funnel cloud with ground contact observed; source: Tornadoliste Deutschland, OCT 2015; source II: Ergebnis der Beratung der Tornado-Arbeitsgruppe (TAD), 24 JAN 2016;
http://www.tornadoliste.de/150926broderstorf.htm
report status: report confirmed by reliable source (QC1)
contact: Thilo Kühne (ESWD management)"
tornado,51.65,6.38,22-09-2015,15:15:00,"Labbeck  Nordrhein-Westfalen 
Germany (51.65 N, 6.38 E) < 1 km
22-09-2015  (Tuesday)
15:15 UTC (+/- 5 min.)","based on information from: a report on a website, photo or video of the event, an eye-witness report
occurring over: land
The funnel cloud was observed.
tornado observed; source: Sävert, T.: Tornadoliste Deutschland; Tornado-Arbeitsgruppe Deutschland, OCT 2015;
https://www.facebook.com/Tornadoliste/posts/1022598864451297
report status: report confirmed by reliable source (QC1)
contact: Thilo Kühne (ESWD management)"
tornado,54.31,10.9,15-09-2015,14:40:00,"Oldenburg in Holstein  
affected villages / settlements: Johannisdorf area, Oldenburg in Holstein [town], Jahnshof [village], Gremersdorf [village]. Schleswig-Holstein 
Germany (54.31 N, 10.90 E)
15-09-2015  (Tuesday)
14:40 UTC (+/- 5 min.)","based on information from: photograph(s) and/or video footage of the inflicted damage, an eyewitness report of the damage, a report on a website, an eye-witness report
occurring over: land
intensity and other characteristics: F1 T3 
the intensity rating was based on a damage survey by a severe weather expert, photograph(s) and/or video footage of the inflicted damage.
accompanying weather: hail >= 2.0 cm in diameter.
size of accompanying hail: 3 cm
path length: 7.9 km
average path width: 75 m
maximum path width: 100 m
direction of movement: SSW-NNE
damage to property: houses damaged
damage to crops and forests: trees downed
tornado hit Oldenburg in Holstein town and area. source: Oldenburg 15.09.2015, Tornadoliste Deutschland, 21 SEP 2015; pers.comm. Thomas Sävert.
http://www.tornadoliste.de/150915oldenburg.htm
report status: report confirmed by reliable source (QC1)
contact: Thilo Kühne (ESWD management)"
tornado,50.97,14.62,11-09-2015,16:00:00,"Neugersdorf  Sachsen 
Germany (50.97 N, 14.62 E)
11-09-2015  (Friday)
16:00 UTC (+/- 5 min.)","based on information from: a report on a website, photo or video of the event, an eye-witness report
occurring over: land
intensity and other characteristics: F0 the intensity rating was based on an eyewitness report of the damage.
Suction vortices were not observed.
The funnel cloud was observed.
direction of movement: SE-NW
tornado observed near Neugersdorf; source: ""Neugersdorf 11.09.2015"", TORNADOLISTE DEUTSCHLAND, 12 SEP 2015;
http://www.tornadoliste.de/150911neugersdorf.htm
report status: report confirmed by reliable source (QC1)
contact: Thilo Kühne (ESWD management)"
tornado,51.96,13.25,31-08-2015,22:15:00,"Schlenzer  Brandenburg 
Germany (51.96 N, 13.25 E)
31-08-2015  (Monday)
22:15 UTC (+/- 5 min.)","based on information from: photograph(s) and/or video footage of the inflicted damage, a damage survey by a severe weather expert, an eyewitness report of the damage, a report on a website
occurring over: land
intensity and other characteristics: F1 T3 
the intensity rating was based on a damage survey by a severe weather expert, photograph(s) and/or video footage of the inflicted damage, an eyewitness report of the damage.
path length: 0.7 km
maximum path width: 70 m
direction of movement: SSW-NNE
path start from (51.96 N, 13.24 E)
path end at (51.96 N, 13.25 E)
damage to property: roofs damaged
damage to crops and forests: trees downed
tornado confirmed; roofs damaged; roof material thrown up to 300meters; trees downed; source: ""Niederer Fläming 01.09.2015"", Tornadoliste Deutschland, Sep.2015; source: Ergebnis der Beratung der Tornado-Arbeitsgruppe Deutschland (TAD), 24 JAN 2016; RAD;
http://www.tornadoliste.de/150901niedererflaeming.htm
report status: report confirmed by reliable source (QC1)
contact: Thilo Kühne (ESWD management) / Tornado-Arbeitsgruppe Deutschland (TAD)"
tornado,52.33,14.25,16-08-2015,16:05:00,"Kersdorf  
S of Kersdorf. Brandenburg 
Germany (52.33 N, 14.25 E)
16-08-2015  (Sunday)
16:05 UTC (+/- 5 min.)","based on information from: photograph(s) and/or video footage of the inflicted damage, a damage survey by a severe weather expert, an eyewitness report of the damage
occurring over: land
intensity and other characteristics: F1 T2 
the intensity rating was based on a damage survey by a severe weather expert, photograph(s) and/or video footage of the inflicted damage, an eyewitness report of the damage.
accompanying weather: heavy rain.
path length: 1.6 km
average path width: 30 m
maximum path width: 50 m
direction of movement: SE-NW
damage to property: road blocked
damage to crops and forests: forest areas partly destroyed
Tornado confirmed 1km-2.5km S of Kersdorf village; forets areas partly destroyed; narrow path line; tornadic tree fall pattern structures; source: Ergebnisse der Beratung der Tornado-Arbeitsgruppe Deutschland (TAD), 09 MAY 2016, Berlin; Site survey by Thilo Kühne (in august 2015);
report status: report confirmed by reliable source (QC1)
contact: Thilo Kühne (ESWD management)"
tornado,52.99,8.92,15-08-2015,10:30:00,"Ahausen  Niedersachsen 
Germany (52.99 N, 8.92 E)
15-08-2015  (Saturday)
10:30 UTC (+/- 5 min.)","based on information from: photograph(s) and/or video footage of the inflicted damage, an eyewitness report of the damage, a report on a website, photo or video of the event, an eye-witness report
occurring over: land
intensity and other characteristics: F0 T1 
the intensity rating was based on photograph(s) and/or video footage of the inflicted damage, an eyewitness report of the damage, a written account of the damage (e.g. in a newspaper).
The funnel cloud was observed.
damage to property: roofs damaged
damage to crops and forests: trees damaged
tornado hit Ahausen village area (Gemeinde Weyhe); source: ""Weyhe 15.08.2015"", TORNADOLISTE DEUTSCHLAND, 15 AUG 2015; RAD;
http://www.tornadoliste.de/150815weyhe.htm
report status: report confirmed by reliable source (QC1)
contact: Thilo Kühne (ESWD management)"
tornado,51.02,6.61,30-07-2015,17:05:00,"Bedburg  Nordrhein-Westfalen 
Germany (51.02 N, 6.61 E) < 1 km
30-07-2015  (Thursday)
17:05 UTC (+/- 5 min.)","based on information from: a report on a website, photo or video of the event, an eye-witness report
occurring over: land
Suction vortices were not observed.
The funnel cloud was observed.
tornado observed; tornado confirmed; source: Ergebnis der Beratung der Tornado-Arbeitsgruppe Deutschland (TAD), 24 JAN 2016; dossier: Tornadoliste Deutschland.
http://www.tornadoliste.de/150730bedburg.htm
report status: report confirmed by reliable source (QC1)
contact: Thilo Kühne (ESWD management) / Tornado-Arbeitsgruppe Deutschland (TAD)"
